"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","379","test4","chromium","Thu Apr 10 19:57:02 IST 2025","passed","Thu Apr 10 19:57:02 IST 2025","","Tag.spec.js","",""
"","595","test1@chetan","chromium","Thu Apr 10 19:56:58 IST 2025","passed","Thu Apr 10 19:56:58 IST 2025","","Tag.spec.js","",""
"","469","test3@chetan","chromium","Thu Apr 10 19:57:01 IST 2025","passed","Thu Apr 10 19:57:02 IST 2025","","Tag.spec.js","",""
"","434","test5@chetan","chromium","Thu Apr 10 19:57:02 IST 2025","passed","Thu Apr 10 19:57:03 IST 2025","","Tag.spec.js","",""
"","379","test2","chromium","Thu Apr 10 19:57:01 IST 2025","passed","Thu Apr 10 19:57:01 IST 2025","","Tag.spec.js","",""
